imagen_id,estado_ojo,nivel_brillo,brillo_ref,ear_ref,brillo_oscura,brillo_mejorada,darkpct_mejorada,std_mejorada,nivel_ilum,psnr_vs_ref,ssim_vs_ref,psnr_vs_oscura,error_brillo_pct,ear_mejorada,ear_oscura,ear_error_mej_pct,ear_error_osc_pct,deteccion_ref,deteccion_mejorada,fps,flops
b0299,abierto,B5,113.0913,0.213285,4.4389,14.0,100.0,4.8098,CRITICA,7.6282,0.222558,28.1044,87.6206,0.239101,nan,12.1039,nan,1,1,1098.901,nan
b0457,abierto,B5,112.4892,0.174146,4.4495,14.8683,100.0,5.3282,CRITICA,7.5306,0.222113,27.3856,86.7824,0.220874,nan,26.8321,nan,1,1,989.218,nan
b0479,abierto,B5,114.0623,0.204017,4.4391,15.3129,100.0,6.1142,CRITICA,7.3983,0.217509,26.9317,86.575,0.224034,nan,9.8111,nan,1,1,1041.341,nan
c0029,abierto,B5,87.4683,0.30645,4.4534,17.5127,100.0,8.1142,CRITICA,9.1081,0.341975,25.2248,79.9782,0.296398,0.282891,3.2804,7.6877,1,1,1126.126,nan
c0050,abierto,B5,90.9132,0.301011,4.4337,17.2676,100.0,8.3621,CRITICA,8.6316,0.34201,25.3404,81.0065,0.30564,0.26412,1.5379,12.2558,1,1,1112.718,nan
c0207,abierto,B5,117.4915,0.250696,4.3667,16.0137,100.0,6.3845,CRITICA,6.2665,0.253958,26.3897,86.3703,0.259708,0.221876,3.5947,11.4961,1,1,1106.072,nan
c0268,abierto,B5,117.3226,0.269166,4.3676,16.9512,100.0,6.4191,CRITICA,6.686,0.227035,25.7369,85.5517,0.25942,0.252932,3.6211,6.0313,1,1,1000.2,nan
c0292,abierto,B5,123.7112,0.33082,4.4136,15.8229,100.0,5.4981,CRITICA,6.0855,0.217295,26.6394,87.2098,0.259495,0.264694,21.5601,19.9883,1,1,1047.12,nan
c0296,abierto,B5,124.4156,0.334806,4.4298,16.0658,100.0,5.5856,CRITICA,5.988,0.221365,26.4726,87.087,0.256585,0.255153,23.363,23.7908,1,1,1185.677,nan
c0337,abierto,B5,108.3967,0.325039,4.38,17.8949,100.0,7.6667,CRITICA,7.4315,0.246428,25.026,83.4913,0.299894,0.281221,7.736,13.4807,1,1,1131.35,nan
c0358,abierto,B5,101.9,0.314931,4.3916,17.8384,100.0,7.9793,CRITICA,7.9063,0.2693,25.0267,82.4942,0.294885,0.285087,6.3653,9.4764,1,1,951.565,nan
c0374,abierto,B5,96.4715,0.304384,4.4319,17.954,100.0,8.5378,CRITICA,8.0809,0.303715,24.9478,81.3894,0.293811,0.265887,3.4736,12.6475,1,1,1113.834,nan
c0377,abierto,B5,94.5033,0.294371,4.4296,18.0474,100.0,8.4871,CRITICA,8.2948,0.31041,24.905,80.9029,0.275542,0.257172,6.3962,12.6365,1,1,1098.298,nan
c0417,abierto,B5,97.9939,0.29004,4.4497,17.9776,100.0,8.5519,CRITICA,7.9877,0.309168,24.8891,81.6544,0.274122,0.264848,5.4882,8.6856,1,1,1031.992,nan
c0430,abierto,B5,95.1566,0.29651,4.4154,17.7876,100.0,8.4845,CRITICA,8.3354,0.309557,24.9847,81.3071,0.27342,0.273445,7.7874,7.779,1,1,1081.783,nan
d0006,abierto,B5,129.978,0.215322,4.4156,15.3099,100.0,4.7458,CRITICA,6.3489,0.174704,27.1208,88.2212,0.204855,nan,4.8612,nan,1,1,1084.716,nan
