imagen_id,estado_ojo,nivel_brillo,brillo_ref,ear_ref,brillo_oscura,brillo_mejorada,darkpct_mejorada,std_mejorada,nivel_ilum,psnr_vs_ref,ssim_vs_ref,psnr_vs_oscura,error_brillo_pct,ear_mejorada,ear_oscura,ear_error_mej_pct,ear_error_osc_pct,deteccion_ref,deteccion_mejorada,fps,flops
q0044,abierto,B5,100.19,0.190232,4.4703,44.719,94.3216,24.5607,CRITICA,12.0591,0.629304,14.8755,55.3658,0.201454,0.193842,5.8991,1.8975,1,1,94.591,16257024.0
q0071,abierto,B5,97.5499,0.188774,4.5069,44.8029,92.6178,24.7034,CRITICA,12.4788,0.642098,14.8659,54.0718,0.202413,0.195889,7.2251,3.7691,1,1,92.633,16257024.0
q0081,abierto,B5,96.6934,0.1863,4.4987,44.795,92.5751,24.809,CRITICA,12.5868,0.648776,14.8489,53.6731,0.182634,0.192028,1.9679,3.0744,1,1,84.968,16257024.0
q0105,abierto,B5,95.2862,0.184476,4.4891,44.7184,93.0078,24.7179,CRITICA,12.8365,0.654185,14.8759,53.0695,0.183197,0.190029,0.6929,3.0105,1,1,78.055,16257024.0
q0149,abierto,B5,93.8605,0.205051,4.5003,44.8196,93.0835,24.6687,CRITICA,13.0642,0.66542,14.86,52.2487,0.20148,0.210457,1.7412,2.6365,1,1,87.613,16257024.0
q0173,abierto,B5,93.1596,0.174553,4.5008,44.7934,92.7245,24.8876,CRITICA,13.1654,0.670542,14.8467,51.9175,0.182924,0.196986,4.7955,12.8517,1,1,86.225,16257024.0
q0277,abierto,B5,94.0991,0.184032,4.5071,44.9373,93.7647,24.1566,CRITICA,13.0788,0.670097,14.8746,52.2446,0.189554,0.208971,3.0004,13.5512,1,1,87.413,16257024.0
q0388,abierto,B5,94.236,0.197225,4.5159,44.9044,93.1087,24.3987,CRITICA,13.0335,0.664614,14.8567,52.349,0.195521,0.208205,0.8641,5.5671,1,1,83.646,16257024.0
q0416,abierto,B5,94.0412,0.183736,4.5094,44.8664,93.1999,24.411,CRITICA,13.0551,0.665947,14.8556,52.2907,0.188406,0.197452,2.5419,7.4649,1,1,85.407,16257024.0
q0471,abierto,B5,94.6023,0.179443,4.502,44.9768,94.4109,24.0071,CRITICA,12.9962,0.66674,14.8688,52.457,0.181057,0.205789,0.8993,14.6821,1,1,82.164,16257024.0
q0480,abierto,B5,93.7476,0.179975,4.5051,44.9175,93.3785,24.3083,CRITICA,13.1267,0.668622,14.8576,52.0868,0.182224,0.201834,1.2493,12.1455,1,1,83.082,16257024.0
q0482,abierto,B5,93.4989,0.180903,4.5016,44.8841,93.722,24.3349,CRITICA,13.1636,0.669807,14.8596,51.995,0.181668,0.196954,0.4226,8.8724,1,1,82.768,16257024.0
q0508,abierto,B5,91.3781,0.189298,4.4865,44.8315,93.5318,24.4654,CRITICA,13.4653,0.679709,14.8246,50.9385,0.192993,0.204317,1.9518,7.934,1,1,82.969,16257024.0
r0128,abierto,B5,134.8424,0.28059,4.3942,46.2256,100.0,18.5473,CRITICA,8.6159,0.492167,15.1183,65.7188,0.259303,0.241749,7.5866,13.8427,1,1,80.783,16257024.0
r0130,abierto,B5,134.9341,0.27357,4.4087,46.2794,100.0,18.4518,CRITICA,8.6124,0.492314,15.1149,65.7022,0.262568,0.23767,4.0213,13.1227,1,1,80.103,16257024.0
r0193,abierto,B5,141.4881,0.277574,4.3903,46.0962,100.0,17.8751,CRITICA,7.9985,0.465696,15.1792,67.4204,0.28202,0.250965,1.6018,9.5863,1,1,81.929,16257024.0
r0214,abierto,B5,145.9872,0.284584,4.3979,46.3756,100.0,17.5961,CRITICA,7.6557,0.457142,15.1547,68.2331,0.277814,0.250189,2.3789,12.0861,1,1,78.992,16257024.0
r0292,abierto,B5,146.6444,0.227552,4.3936,46.5267,100.0,16.6028,CRITICA,7.6672,0.456479,15.2071,68.2724,0.217947,0.200621,4.221,11.8354,1,1,76.591,16257024.0
r0345,abierto,B5,142.6725,0.268186,4.398,46.3359,100.0,16.9038,CRITICA,7.9715,0.463888,15.2239,67.5229,0.271231,0.244905,1.1356,8.6807,1,1,78.661,16257024.0
r0350,abierto,B5,142.7842,0.279956,4.4116,46.4137,100.0,16.8341,CRITICA,7.9654,0.472557,15.2059,67.4938,0.268478,0.244798,4.0997,12.5582,1,1,76.418,16257024.0
r0513,abierto,B5,149.9615,0.197076,4.4098,46.616,100.0,15.4235,CRITICA,7.4855,0.441093,15.23,68.9147,0.191895,0.175102,2.629,11.1501,1,1,73.316,16257024.0
s0045,abierto,B5,100.4343,0.183405,4.363,44.9754,91.3311,25.8803,CRITICA,12.1613,0.612907,14.7552,55.219,0.199451,0.211648,8.7486,15.3989,1,1,75.442,16257024.0
s0046,abierto,B5,100.8095,0.186833,4.3593,45.032,91.628,25.6213,CRITICA,12.1249,0.612652,14.7709,55.3296,0.197972,0.204803,5.9625,9.6184,1,1,73.304,16257024.0
s0059,abierto,B5,100.7484,0.186047,4.3574,45.0456,91.3292,25.5098,CRITICA,12.1181,0.616405,14.7747,55.289,0.198343,0.210734,6.6092,13.2694,1,1,71.646,16257024.0
s0066,abierto,B5,99.2571,0.186376,4.3624,45.019,89.9746,25.979,CRITICA,12.298,0.62614,14.7544,54.6441,0.192283,0.201786,3.1697,8.2686,1,1,62.481,16257024.0
s0167,abierto,B5,108.3071,0.202088,4.3718,45.5944,93.8908,23.3923,CRITICA,11.3036,0.593179,14.8806,57.9027,0.213593,0.21544,5.6932,6.6069,1,1,70.763,16257024.0
s0206,abierto,B5,105.9662,0.193256,4.3546,45.1697,92.9942,24.7255,CRITICA,11.475,0.595606,14.835,57.3735,0.20386,0.214085,5.4874,10.7783,1,1,71.191,16257024.0
s0323,abierto,B5,104.119,0.195028,4.3489,44.9825,90.6558,25.7178,CRITICA,11.5859,0.604735,14.7742,56.797,0.198979,0.210087,2.0258,7.7219,1,1,70.364,16257024.0
s0330,abierto,B5,103.6396,0.193052,4.3532,44.8807,90.5878,26.1035,CRITICA,11.6266,0.602187,14.7627,56.6954,0.210595,0.218277,9.0872,13.0662,1,1,62.038,16257024.0
s0371,abierto,B5,103.8234,0.184494,4.3386,44.8018,90.5315,26.5333,CRITICA,11.5872,0.595596,14.7594,56.848,0.192929,0.210627,4.5718,14.1647,1,1,67.097,16257024.0
s0383,abierto,B5,109.1659,0.20014,4.3655,45.4512,91.3757,24.2796,CRITICA,11.0324,0.594908,14.813,58.365,0.204147,nan,2.0022,nan,1,1,50.92,16257024.0
s0430,abierto,B5,103.445,0.189874,4.3545,44.9776,89.7126,25.8445,CRITICA,11.6643,0.611001,14.7615,56.5203,0.200849,nan,5.78,nan,1,1,51.726,16257024.0
u0020,abierto,B5,115.1051,0.193051,4.4082,45.4572,95.6937,22.2814,CRITICA,10.3882,0.559738,14.9436,60.5081,0.207978,nan,7.7323,nan,1,1,50.446,16257024.0
u0151,abierto,B5,115.143,0.20726,4.4076,45.4707,95.8354,22.3119,CRITICA,10.3818,0.549885,14.9123,60.5094,0.215017,nan,3.7423,nan,1,1,58.201,16257024.0
u0180,abierto,B5,111.547,0.209392,4.4165,45.5856,97.6111,22.099,CRITICA,10.8343,0.573112,14.8832,59.1333,0.214904,nan,2.6323,nan,1,1,57.904,16257024.0
u0204,abierto,B5,113.8095,0.20017,4.4172,45.5604,97.6712,21.8903,CRITICA,10.5758,0.564264,14.9158,59.9679,0.238246,nan,19.0215,nan,1,1,61.168,16257024.0
u0229,abierto,B5,115.3807,0.205445,4.3873,45.6084,97.7178,21.5981,CRITICA,10.4444,0.555293,14.9577,60.4714,0.208991,nan,1.726,nan,1,1,53.358,16257024.0
u0233,abierto,B5,115.9589,0.198453,4.3885,45.6474,97.6712,21.554,CRITICA,10.3688,0.554151,14.9439,60.6348,0.214919,nan,8.297,nan,1,1,58.363,16257024.0
u0248,abierto,B5,114.6108,0.188595,4.4322,45.6368,96.7785,21.9817,CRITICA,10.4549,0.558403,14.8976,60.181,0.216048,nan,14.5569,nan,1,1,57.295,16257024.0
u0282,abierto,B5,110.3973,0.213845,4.4365,45.3973,96.6524,22.4064,CRITICA,10.9311,0.576733,14.8911,58.8783,0.2149,nan,0.4933,nan,1,1,57.553,16257024.0
u0294,abierto,B5,111.1758,0.203591,4.4389,45.4806,96.3166,22.5354,CRITICA,10.8265,0.570721,14.8709,59.0913,0.212285,nan,4.27,nan,1,1,57.663,16257024.0
u0317,abierto,B5,112.2283,0.206947,4.425,45.5363,96.5631,22.295,CRITICA,10.7227,0.567033,14.8915,59.4253,0.217669,nan,5.1811,nan,1,1,37.505,16257024.0
u0433,abierto,B5,112.7143,0.231301,4.4442,45.4685,94.865,22.9872,CRITICA,10.6116,0.562894,14.8547,59.6604,0.224012,nan,3.1514,nan,1,1,67.321,16257024.0
u0436,abierto,B5,110.8942,0.19642,4.4555,45.3246,94.7583,23.4075,CRITICA,10.7663,0.564664,14.822,59.1281,0.21132,nan,7.5857,nan,1,1,66.296,16257024.0
u0513,abierto,B5,111.3155,0.197343,4.4281,45.517,96.3535,22.4807,CRITICA,10.8133,0.570782,14.8724,59.1099,0.223241,nan,13.1236,nan,1,1,67.486,16257024.0
u0519,abierto,B5,111.8987,0.200679,4.4312,45.507,96.4991,22.4634,CRITICA,10.7451,0.568352,14.8736,59.332,0.210977,nan,5.1316,nan,1,1,63.685,16257024.0
v0046,abierto,B5,128.0446,0.172509,4.374,46.366,100.0,17.4532,CRITICA,9.4071,0.519453,15.1325,63.7892,0.174293,0.195989,1.0341,13.6108,1,1,58.897,16257024.0
v0050,abierto,B5,128.3586,0.161235,4.3695,46.1776,99.8195,18.7091,CRITICA,9.2979,0.510193,15.0931,64.0245,0.161474,0.187669,0.1485,16.3945,1,1,65.746,16257024.0
v0062,abierto,B5,129.0402,0.161912,4.3764,46.4067,100.0,17.4482,CRITICA,9.3117,0.519214,15.1223,64.037,0.175535,0.200265,8.4136,23.6878,1,1,64.959,16257024.0
v0081,abierto,B5,128.3384,0.162069,4.3608,46.3412,99.9825,17.3006,CRITICA,9.3684,0.520144,15.1345,63.8914,0.172679,0.203696,6.547,25.6849,1,1,66.867,16257024.0
v0096,abierto,B5,127.329,0.16368,4.3843,46.4175,100.0,17.6098,CRITICA,9.4765,0.527428,15.1076,63.5453,0.184694,0.196612,12.8386,20.12,1,1,65.283,16257024.0
v0112,abierto,B5,125.5972,0.176121,4.381,46.3658,99.7244,17.9692,CRITICA,9.6487,0.528075,15.1064,63.0837,0.174875,0.195233,0.7077,10.8514,1,1,66.737,16257024.0
v0114,abierto,B5,126.5803,0.167152,4.3849,46.3925,99.6546,17.9902,CRITICA,9.5466,0.52317,15.1092,63.3494,0.170601,0.200686,2.0634,20.0619,1,1,58.549,16257024.0
v0140,abierto,B5,121.155,0.181939,4.3773,46.2313,96.4408,19.0181,CRITICA,10.0099,0.537003,15.0254,61.8412,0.183866,0.197479,1.0587,8.5409,1,1,65.99,16257024.0
