imagen_id,estado_ojo,nivel_brillo,brillo_ref,ear_ref,brillo_oscura,brillo_mejorada,darkpct_mejorada,std_mejorada,nivel_ilum,psnr_vs_ref,ssim_vs_ref,psnr_vs_oscura,error_brillo_pct,ear_mejorada,ear_oscura,ear_error_mej_pct,ear_error_osc_pct,deteccion_ref,deteccion_mejorada,fps,flops
m0505,abierto,B5,99.606,0.159609,4.513,113.4079,32.5428,63.9529,BIEN,22.2487,0.898108,6.2119,13.8565,0.162135,nan,1.5821,nan,1,1,272.591,nan
n0062,abierto,B5,137.7514,0.191702,4.3741,150.7438,20.6039,74.347,BIEN,22.392,0.839161,4.0252,9.4318,0.187683,0.211557,2.0968,10.3568,1,1,267.123,nan
n0063,abierto,B5,137.2028,0.193722,4.3706,150.5734,20.6602,74.3376,BIEN,22.2895,0.839566,4.0454,9.7451,0.184475,0.207108,4.7732,6.9099,1,1,270.424,nan
n0140,abierto,B5,136.69,0.208797,4.3515,149.821,22.269,76.4824,BIEN,22.1256,0.841263,4.0378,9.6064,0.190809,0.202074,8.6152,3.2199,1,1,268.456,nan
n0202,abierto,B5,140.1217,0.180565,4.3634,150.1983,20.6311,74.2383,BIEN,23.5201,0.842844,4.0297,7.1913,0.152811,0.210901,15.3705,16.801,1,1,250.853,nan
n0209,abierto,B5,139.173,0.193998,4.3526,149.9536,20.9261,74.5215,BIEN,23.0715,0.846485,4.009,7.7462,0.1877,0.200499,3.2463,3.351,1,1,248.936,nan
n0212,abierto,B5,143.3717,0.210788,4.3717,165.7591,18.0966,78.0159,BIEN,18.8644,0.824281,3.2218,15.6149,0.208434,0.207555,1.1169,1.5341,1,1,253.665,nan
n0303,abierto,B5,134.7758,0.190132,4.3698,149.8676,21.7819,76.2525,BIEN,21.3304,0.847108,3.9645,11.1977,0.193654,0.212522,1.8523,11.776,1,1,269.389,nan
n0332,abierto,B5,133.3644,0.178417,4.3565,150.1183,21.5393,75.8187,BIEN,20.9295,0.852647,3.9707,12.5625,0.16338,0.199412,8.4278,11.7675,1,1,267.766,nan
n0340,abierto,B5,155.4676,0.196068,4.3923,166.8241,16.2549,73.8409,BIEN,22.7107,0.840056,3.2733,7.3047,0.18838,nan,3.9211,nan,1,1,268.413,nan
n0343,abierto,B5,173.5967,0.256543,4.4181,188.1201,10.8289,69.7837,BIEN,21.5647,0.84074,2.463,8.3662,nan,nan,nan,nan,1,0,269.397,nan
n0624,abierto,B5,125.3377,0.168366,4.3556,135.2989,26.7092,77.1486,BIEN,23.3631,0.856369,4.6106,7.9475,0.164742,0.195346,2.152,16.0246,1,1,269.201,nan
n0654,abierto,B5,121.6574,0.158622,4.3646,135.827,28.2676,80.0127,BIEN,21.5665,0.838213,4.5748,11.6472,0.155926,nan,1.6998,nan,1,1,272.353,nan
n0658,abierto,B5,119.401,0.181857,4.3505,135.1909,29.4785,81.1473,BIEN,20.8928,0.837023,4.5707,13.2242,0.199855,0.206562,9.8967,13.5852,1,1,272.621,nan
